model,reference_model,sec_condition,class_id,class_name,retention_masked,mass_clean_masked,mass_reference_masked,metric_type,conf_threshold
SegFormer-B0,SegFormer-B5,Sunset-FOGGY,0,road,0.9300138463070186,4871335.0,4871335.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-FOGGY,1,sidewalk,0.3553057112732663,478965.0,478965.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-FOGGY,2,building,0.8723035633619429,1505320.0,1505320.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-FOGGY,3,wall,0.20463208523183316,327671.0,327671.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-FOGGY,4,fence,0.43459955162905506,256038.0,256038.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-FOGGY,5,pole,0.43281594496869213,113390.0,113390.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-FOGGY,6,traffic light,0.4477172312223859,2716.0,2716.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-FOGGY,7,traffic sign,0.2084778147335645,14131.0,14131.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-FOGGY,8,vegetation,0.7830248421992154,2850271.0,2850271.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-FOGGY,9,terrain,0.09018742042383447,454753.0,454753.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-FOGGY,10,sky,0.7887133898337089,4713479.0,4713479.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-FOGGY,11,person,0.002261662897228505,26087.0,26087.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-FOGGY,12,rider,0.7275325261337143,13297.0,13297.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-FOGGY,13,car,0.9571039624696323,238740.0,238740.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-FOGGY,14,truck,0.14905787853764732,66605.0,66605.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-FOGGY,15,bus,0.0,0.0,0.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-FOGGY,16,train,0.0,0.0,0.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-FOGGY,17,motorcycle,0.0,131.0,131.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Sunset-FOGGY,18,bicycle,0.17931583134447096,37710.0,37710.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-EXTRASUNNY,0,road,0.8146552068615528,7257366.0,7257366.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-EXTRASUNNY,1,sidewalk,0.3821018107653722,544245.0,544245.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-EXTRASUNNY,2,building,0.8581896587492359,3615230.0,3615230.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-EXTRASUNNY,3,wall,0.471500119246363,620564.0,620564.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-EXTRASUNNY,4,fence,0.2773366606170599,238032.0,238032.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-EXTRASUNNY,5,pole,0.36141325280786357,259628.0,259628.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-EXTRASUNNY,6,traffic light,0.2740950394756443,6713.0,6713.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-EXTRASUNNY,7,traffic sign,0.014158153004585311,24862.0,24862.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-EXTRASUNNY,8,vegetation,0.8338616238740741,2518816.0,2518816.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-EXTRASUNNY,9,terrain,0.2244644287568907,253421.0,253421.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-EXTRASUNNY,10,sky,0.29254989306369356,5768387.0,5768387.0,reference_clean_vs_model_adverse,0.6
