model,reference_model,class_id,class_name,retention_masked_global,mass_clean_masked_global,mass_reference_masked_global,metric_type,conf_threshold
SegFormer-B0,SegFormer-B5,0,road,0.9393164487466527,55167948.0,55167948.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,1,sidewalk,0.4696195387168161,5598730.0,5598730.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,2,building,0.8517056147072458,26891126.0,26891126.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,3,wall,0.4570627645875417,3889072.0,3889072.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,4,fence,0.5671177771687147,2338747.0,2338747.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,5,pole,0.4530882941795949,1930467.0,1930467.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,6,traffic light,0.2517381418639189,76087.0,76087.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,7,traffic sign,0.4370012643273157,241235.0,241235.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,8,vegetation,0.8316377177051913,25085874.0,25085874.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,9,terrain,0.45300853363368004,3009855.0,3009855.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,10,sky,0.7561109611846734,49620631.0,49620631.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,11,person,0.34938865129297086,165781.0,165781.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,12,rider,0.5819534506716072,34544.0,34544.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,13,car,0.7872033656208548,4239099.0,4239099.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,14,truck,0.2538406573776349,470232.0,470232.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,15,bus,0.0,2544.0,2544.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,16,train,0.3159497378970089,25944.0,25944.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,17,motorcycle,0.4268013007016943,29215.0,29215.0,reference_clean_vs_model_adverse,0.6
