model,reference_model,sec_condition,pixel_agreement_masked_mean,metric_type,n_pairs,conf_threshold
SegFormer-B0,SegFormer-B5,Sunset-FOGGY,0.7814033297170089,reference_clean_vs_model_adverse,9,0.6
SegFormer-B0,SegFormer-B5,Night-EXTRASUNNY,0.639735895573263,reference_clean_vs_model_adverse,12,0.6
SegFormer-B0,SegFormer-B5,Day-FOGGY,0.8761551749936448,reference_clean_vs_model_adverse,24,0.6
SegFormer-B0,SegFormer-B5,Day-RAIN,0.8923940803533261,reference_clean_vs_model_adverse,17,0.6
SegFormer-B0,SegFormer-B5,Sunset-RAIN,0.8802701228863256,reference_clean_vs_model_adverse,12,0.6
SegFormer-B0,SegFormer-B5,Night-FOGGY,0.7259420824169527,reference_clean_vs_model_adverse,9,0.6
SegFormer-B0,SegFormer-B5,Sunset-EXTRASUNNY,0.836501945420098,reference_clean_vs_model_adverse,11,0.6
SegFormer-B0,SegFormer-B5,Night-RAIN,0.6428371143027835,reference_clean_vs_model_adverse,7,0.6
SegFormer-B2,SegFormer-B5,Sunset-FOGGY,0.8617866742679531,reference_clean_vs_model_adverse,9,0.6
SegFormer-B2,SegFormer-B5,Night-EXTRASUNNY,0.7254244795041428,reference_clean_vs_model_adverse,12,0.6
SegFormer-B2,SegFormer-B5,Day-FOGGY,0.8843200883493286,reference_clean_vs_model_adverse,24,0.6
SegFormer-B2,SegFormer-B5,Day-RAIN,0.9026466379204685,reference_clean_vs_model_adverse,17,0.6
SegFormer-B2,SegFormer-B5,Sunset-RAIN,0.9001695720315318,reference_clean_vs_model_adverse,12,0.6
SegFormer-B2,SegFormer-B5,Night-FOGGY,0.7419434792458237,reference_clean_vs_model_adverse,9,0.6
SegFormer-B2,SegFormer-B5,Sunset-EXTRASUNNY,0.8837728580365326,reference_clean_vs_model_adverse,11,0.6
SegFormer-B2,SegFormer-B5,Night-RAIN,0.6006496043938949,reference_clean_vs_model_adverse,7,0.6
SegFormer-B5,SegFormer-B5,Sunset-FOGGY,0.8914255526090168,reference_clean_vs_model_adverse,9,0.6
SegFormer-B5,SegFormer-B5,Night-EXTRASUNNY,0.774198213200877,reference_clean_vs_model_adverse,12,0.6
SegFormer-B5,SegFormer-B5,Day-FOGGY,0.9463792082934653,reference_clean_vs_model_adverse,24,0.6
SegFormer-B5,SegFormer-B5,Day-RAIN,0.9350141850737024,reference_clean_vs_model_adverse,17,0.6
SegFormer-B5,SegFormer-B5,Sunset-RAIN,0.9399953349382854,reference_clean_vs_model_adverse,12,0.6
SegFormer-B5,SegFormer-B5,Night-FOGGY,0.7938054556147063,reference_clean_vs_model_adverse,9,0.6
SegFormer-B5,SegFormer-B5,Sunset-EXTRASUNNY,0.9415107815896822,reference_clean_vs_model_adverse,11,0.6
SegFormer-B5,SegFormer-B5,Night-RAIN,0.6327673726544097,reference_clean_vs_model_adverse,7,0.6
Mask2Former-Swin-S,SegFormer-B5,Sunset-FOGGY,0.8864324374753658,reference_clean_vs_model_adverse,9,0.6
Mask2Former-Swin-S,SegFormer-B5,Night-EXTRASUNNY,0.7942608528497032,reference_clean_vs_model_adverse,12,0.6
Mask2Former-Swin-S,SegFormer-B5,Day-FOGGY,0.8811985869860886,reference_clean_vs_model_adverse,24,0.6
Mask2Former-Swin-S,SegFormer-B5,Day-RAIN,0.882390325986691,reference_clean_vs_model_adverse,17,0.6
Mask2Former-Swin-S,SegFormer-B5,Sunset-RAIN,0.8900050151689686,reference_clean_vs_model_adverse,12,0.6
Mask2Former-Swin-S,SegFormer-B5,Night-FOGGY,0.7420546183106632,reference_clean_vs_model_adverse,9,0.6
Mask2Former-Swin-S,SegFormer-B5,Sunset-EXTRASUNNY,0.8919567572977706,reference_clean_vs_model_adverse,11,0.6
Mask2Former-Swin-S,SegFormer-B5,Night-RAIN,0.6176895212564151,reference_clean_vs_model_adverse,7,0.6
