model,reference_model,loc_id,sec_condition,pixel_agreement_masked,metric_type,reference_input_source,model_input_source,adapter_input_norm,conf_threshold,coverage_masked,coverage_ref_masked,clean_path,sec_path
SegFormer-B0,SegFormer-B5,10231074,Sunset-FOGGY,0.7663928773749967,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.96397864818573,0.96397864818573,/home/ace/Downloads/Dataset/Day/10231074_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Sunset/10231074_Sunset_FOGGY.png
SegFormer-B0,SegFormer-B5,108359,Night-EXTRASUNNY,0.5329276561751258,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9779524207115173,0.9779524207115173,/home/ace/Downloads/Dataset/Day/108359_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/108359_Night_EXTRASUNNY.png
SegFormer-B2,SegFormer-B5,10231074,Sunset-FOGGY,0.8788339904504301,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.96397864818573,0.96397864818573,/home/ace/Downloads/Dataset/Day/10231074_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Sunset/10231074_Sunset_FOGGY.png
SegFormer-B2,SegFormer-B5,108359,Night-EXTRASUNNY,0.5749597347069131,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9779524207115173,0.9779524207115173,/home/ace/Downloads/Dataset/Day/108359_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/108359_Night_EXTRASUNNY.png
SegFormer-B5,SegFormer-B5,10231074,Sunset-FOGGY,0.8874722591719982,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.96397864818573,0.96397864818573,/home/ace/Downloads/Dataset/Day/10231074_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Sunset/10231074_Sunset_FOGGY.png
SegFormer-B5,SegFormer-B5,108359,Night-EXTRASUNNY,0.6162828519568624,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9779524207115173,0.9779524207115173,/home/ace/Downloads/Dataset/Day/108359_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/108359_Night_EXTRASUNNY.png
Mask2Former-Swin-S,SegFormer-B5,10231074,Sunset-FOGGY,0.8851167821893341,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.96397864818573,0.96397864818573,/home/ace/Downloads/Dataset/Day/10231074_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Sunset/10231074_Sunset_FOGGY.png
Mask2Former-Swin-S,SegFormer-B5,108359,Night-EXTRASUNNY,0.833791274383184,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9779524207115173,0.9779524207115173,/home/ace/Downloads/Dataset/Day/108359_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/108359_Night_EXTRASUNNY.png
Mask2Former-Swin-L,SegFormer-B5,10231074,Sunset-FOGGY,0.8758373541148753,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.96397864818573,0.96397864818573,/home/ace/Downloads/Dataset/Day/10231074_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Sunset/10231074_Sunset_FOGGY.png
Mask2Former-Swin-L,SegFormer-B5,108359,Night-EXTRASUNNY,0.8625575750153506,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9779524207115173,0.9779524207115173,/home/ace/Downloads/Dataset/Day/108359_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/108359_Night_EXTRASUNNY.png
DeepLabV3+-R101,SegFormer-B5,10231074,Sunset-FOGGY,0.8223903104579074,reference_clean_vs_model_adverse,raw,repo,none,0.6,0.96397864818573,0.96397864818573,/home/ace/Downloads/Dataset/Day/10231074_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Sunset/10231074_Sunset_FOGGY.png
DeepLabV3+-R101,SegFormer-B5,108359,Night-EXTRASUNNY,0.7031530800210554,reference_clean_vs_model_adverse,raw,repo,none,0.6,0.9779524207115173,0.9779524207115173,/home/ace/Downloads/Dataset/Day/108359_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/108359_Night_EXTRASUNNY.png
PIDNet-M,SegFormer-B5,10231074,Sunset-FOGGY,0.6534451059309235,reference_clean_vs_model_adverse,raw,repo,none,0.6,0.96397864818573,0.96397864818573,/home/ace/Downloads/Dataset/Day/10231074_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Sunset/10231074_Sunset_FOGGY.png
PIDNet-M,SegFormer-B5,108359,Night-EXTRASUNNY,0.5092162157759054,reference_clean_vs_model_adverse,raw,repo,none,0.6,0.9779524207115173,0.9779524207115173,/home/ace/Downloads/Dataset/Day/108359_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/108359_Night_EXTRASUNNY.png
DDRNet-23,SegFormer-B5,10231074,Sunset-FOGGY,0.2827689421269621,reference_clean_vs_model_adverse,raw,repo,none,0.6,0.96397864818573,0.96397864818573,/home/ace/Downloads/Dataset/Day/10231074_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Sunset/10231074_Sunset_FOGGY.png
DDRNet-23,SegFormer-B5,108359,Night-EXTRASUNNY,0.44701637970213515,reference_clean_vs_model_adverse,raw,repo,none,0.6,0.9779524207115173,0.9779524207115173,/home/ace/Downloads/Dataset/Day/108359_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/108359_Night_EXTRASUNNY.png
SegFormer-B0,SegFormer-B5,10901081,Day-FOGGY,0.9476837897609217,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9857290387153625,0.9857290387153625,/home/ace/Downloads/Dataset/Day/10901081_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Day/10901081_Day_FOGGY.png
SegFormer-B0,SegFormer-B5,11101250,Sunset-FOGGY,0.4907280307471087,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9681611657142639,0.9681611657142639,/home/ace/Downloads/Dataset/Day/11101250_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Sunset/11101250_Sunset_FOGGY.png
