model,sec_condition,class_id,class_name,retention_masked,mass_clean_masked,conf_threshold
Mask2Former-Swin-L,Day-FOGGY,0,road,0.9990627007275971,49153991.0,0.8
Mask2Former-Swin-L,Day-FOGGY,1,sidewalk,0.9161430977120119,1416878.0,0.8
Mask2Former-Swin-L,Day-FOGGY,2,building,0.9608074963067872,17784651.0,0.8
Mask2Former-Swin-L,Day-FOGGY,3,wall,0.7644348781936315,2540877.0,0.8
Mask2Former-Swin-L,Day-FOGGY,4,fence,0.8949533676191184,1292664.0,0.8
Mask2Former-Swin-L,Day-FOGGY,5,pole,0.8885430716993024,1155074.0,0.8
Mask2Former-Swin-L,Day-FOGGY,6,traffic light,0.6954145390161915,38971.0,0.8
Mask2Former-Swin-L,Day-FOGGY,7,traffic sign,0.6712125556977103,181336.0,0.8
Mask2Former-Swin-L,Day-FOGGY,8,vegetation,0.9617274403967845,18810814.0,0.8
Mask2Former-Swin-L,Day-FOGGY,9,terrain,0.9376366399160893,2825858.0,0.8
Mask2Former-Swin-L,Day-FOGGY,10,sky,0.9975834213481425,43586415.0,0.8
Mask2Former-Swin-L,Day-FOGGY,11,person,0.8776075127411329,115963.0,0.8
Mask2Former-Swin-L,Day-FOGGY,12,rider,0.6830469226081658,41025.0,0.8
Mask2Former-Swin-L,Day-FOGGY,13,car,0.9847591896858603,3737859.0,0.8
Mask2Former-Swin-L,Day-FOGGY,14,truck,0.5062642696445827,539169.0,0.8
Mask2Former-Swin-L,Day-FOGGY,15,bus,0.03185437997724687,879.0,0.8
Mask2Former-Swin-L,Day-FOGGY,16,train,0.9996664999166249,11994.0,0.8
Mask2Former-Swin-L,Day-FOGGY,17,motorcycle,0.9939898544331716,18136.0,0.8
Mask2Former-Swin-L,Day-FOGGY,18,bicycle,0.3461689433192024,25476.0,0.8
Mask2Former-Swin-L,Day-RAIN,0,road,0.9941355118041177,49153991.0,0.8
Mask2Former-Swin-L,Day-RAIN,1,sidewalk,0.8426752338592314,1416878.0,0.8
Mask2Former-Swin-L,Day-RAIN,2,building,0.9693219169721127,17784651.0,0.8
Mask2Former-Swin-L,Day-RAIN,3,wall,0.8942451759766411,2540877.0,0.8
Mask2Former-Swin-L,Day-RAIN,4,fence,0.857235136121993,1292664.0,0.8
Mask2Former-Swin-L,Day-RAIN,5,pole,0.8163182618602791,1155074.0,0.8
Mask2Former-Swin-L,Day-RAIN,6,traffic light,0.7705986502784121,38971.0,0.8
Mask2Former-Swin-L,Day-RAIN,7,traffic sign,0.6582697313274805,181336.0,0.8
Mask2Former-Swin-L,Day-RAIN,8,vegetation,0.9688517998211029,18810814.0,0.8
Mask2Former-Swin-L,Day-RAIN,9,terrain,0.8947993848240074,2825858.0,0.8
Mask2Former-Swin-L,Day-RAIN,10,sky,0.9982133882770583,43586415.0,0.8
Mask2Former-Swin-L,Day-RAIN,11,person,0.8497365539008132,115963.0,0.8
Mask2Former-Swin-L,Day-RAIN,12,rider,0.683363802559415,41025.0,0.8
Mask2Former-Swin-L,Day-RAIN,13,car,0.9638905587396421,3737859.0,0.8
Mask2Former-Swin-L,Day-RAIN,14,truck,0.5716445122030384,539169.0,0.8
Mask2Former-Swin-L,Day-RAIN,15,bus,0.9749715585893061,879.0,0.8
Mask2Former-Swin-L,Day-RAIN,16,train,0.0,11994.0,0.8
Mask2Former-Swin-L,Day-RAIN,17,motorcycle,0.9309660344067049,18136.0,0.8
Mask2Former-Swin-L,Day-RAIN,18,bicycle,0.6507693515465536,25476.0,0.8
Mask2Former-Swin-L,Night-EXTRASUNNY,0,road,0.9967412615590054,49153991.0,0.8
Mask2Former-Swin-L,Night-EXTRASUNNY,1,sidewalk,0.8679949861597117,1416878.0,0.8
Mask2Former-Swin-L,Night-EXTRASUNNY,2,building,0.9449113732959955,17784651.0,0.8
Mask2Former-Swin-L,Night-EXTRASUNNY,3,wall,0.8285584071956258,2540877.0,0.8
Mask2Former-Swin-L,Night-EXTRASUNNY,4,fence,0.816592710866861,1292664.0,0.8
Mask2Former-Swin-L,Night-EXTRASUNNY,5,pole,0.741670230651889,1155074.0,0.8
Mask2Former-Swin-L,Night-EXTRASUNNY,6,traffic light,0.8174026840471119,38971.0,0.8
Mask2Former-Swin-L,Night-EXTRASUNNY,7,traffic sign,0.29949375744474344,181336.0,0.8
Mask2Former-Swin-L,Night-EXTRASUNNY,8,vegetation,0.9257524953465597,18810814.0,0.8
Mask2Former-Swin-L,Night-EXTRASUNNY,9,terrain,0.843777712822088,2825858.0,0.8
Mask2Former-Swin-L,Night-EXTRASUNNY,10,sky,0.9180459553739393,43586415.0,0.8
Mask2Former-Swin-L,Night-EXTRASUNNY,11,person,0.6506213188689496,115963.0,0.8
Mask2Former-Swin-L,Night-EXTRASUNNY,12,rider,0.77345521023766,41025.0,0.8
Mask2Former-Swin-L,Night-EXTRASUNNY,13,car,0.9382122225584218,3737859.0,0.8
Mask2Former-Swin-L,Night-EXTRASUNNY,14,truck,0.7598452433281587,539169.0,0.8
Mask2Former-Swin-L,Night-EXTRASUNNY,15,bus,0.0,879.0,0.8
Mask2Former-Swin-L,Night-EXTRASUNNY,16,train,0.0,11994.0,0.8
Mask2Former-Swin-L,Night-EXTRASUNNY,17,motorcycle,0.754245699161888,18136.0,0.8
Mask2Former-Swin-L,Night-EXTRASUNNY,18,bicycle,0.015073009891662742,25476.0,0.8
Mask2Former-Swin-L,Night-FOGGY,0,road,0.9907402025605612,49153991.0,0.8
Mask2Former-Swin-L,Night-FOGGY,1,sidewalk,0.8715379870391099,1416878.0,0.8
Mask2Former-Swin-L,Night-FOGGY,2,building,0.9341434363823051,17784651.0,0.8
Mask2Former-Swin-L,Night-FOGGY,3,wall,0.8679680283618609,2540877.0,0.8
Mask2Former-Swin-L,Night-FOGGY,4,fence,0.7897496952030845,1292664.0,0.8
Mask2Former-Swin-L,Night-FOGGY,5,pole,0.6849786247461201,1155074.0,0.8
Mask2Former-Swin-L,Night-FOGGY,6,traffic light,0.8051628133740474,38971.0,0.8
Mask2Former-Swin-L,Night-FOGGY,7,traffic sign,0.39405302863193187,181336.0,0.8
