model,sec_condition,class_id,class_name,retention_masked,mass_clean_masked,conf_threshold
SegFormer-B2,Day-FOGGY,0,road,0.9870650257983173,55618356.0,0.8
SegFormer-B2,Day-FOGGY,1,sidewalk,0.8239946972312824,2415342.0,0.8
SegFormer-B2,Day-FOGGY,2,building,0.968820151966445,23220126.0,0.8
SegFormer-B2,Day-FOGGY,3,wall,0.8091655471578149,2437825.0,0.8
SegFormer-B2,Day-FOGGY,4,fence,0.9292306043947633,1698658.0,0.8
SegFormer-B2,Day-FOGGY,5,pole,0.9579554408312677,974704.0,0.8
SegFormer-B2,Day-FOGGY,6,traffic light,0.749351871411288,52073.0,0.8
SegFormer-B2,Day-FOGGY,7,traffic sign,0.8295849449695604,234234.0,0.8
SegFormer-B2,Day-FOGGY,8,vegetation,0.9485814848862819,22975187.0,0.8
SegFormer-B2,Day-FOGGY,9,terrain,0.9440648075044089,1652895.0,0.8
SegFormer-B2,Day-FOGGY,10,sky,0.9600636915356553,46723948.0,0.8
SegFormer-B2,Day-FOGGY,11,person,0.8501618054971841,95176.0,0.8
SegFormer-B2,Day-FOGGY,12,rider,0.9324369747899159,17850.0,0.8
SegFormer-B2,Day-FOGGY,13,car,0.9511365324331901,3642087.0,0.8
SegFormer-B2,Day-FOGGY,14,truck,0.8525712249219094,286206.0,0.8
SegFormer-B2,Day-FOGGY,15,bus,0.9950799309577196,61991.0,0.8
SegFormer-B2,Day-FOGGY,16,train,0.38139759459222194,91128.0,0.8
SegFormer-B2,Day-FOGGY,17,motorcycle,0.1348314606741573,13439.0,0.8
SegFormer-B2,Day-FOGGY,18,bicycle,0.9707008757599292,37339.0,0.8
SegFormer-B2,Day-RAIN,0,road,0.9691453483450679,55618356.0,0.8
SegFormer-B2,Day-RAIN,1,sidewalk,0.7323617110951576,2415342.0,0.8
SegFormer-B2,Day-RAIN,2,building,0.9419262841209389,23220126.0,0.8
SegFormer-B2,Day-RAIN,3,wall,0.6204251740793535,2437825.0,0.8
SegFormer-B2,Day-RAIN,4,fence,0.8177349413478169,1698658.0,0.8
SegFormer-B2,Day-RAIN,5,pole,0.9204209688274594,974704.0,0.8
SegFormer-B2,Day-RAIN,6,traffic light,0.7087742208054078,52073.0,0.8
SegFormer-B2,Day-RAIN,7,traffic sign,0.621485352254583,234234.0,0.8
SegFormer-B2,Day-RAIN,8,vegetation,0.9476936139845129,22975187.0,0.8
SegFormer-B2,Day-RAIN,9,terrain,0.9113313307862871,1652895.0,0.8
SegFormer-B2,Day-RAIN,10,sky,0.9905713875034704,46723948.0,0.8
SegFormer-B2,Day-RAIN,11,person,0.7804593595023955,95176.0,0.8
SegFormer-B2,Day-RAIN,12,rider,0.48128851540616246,17850.0,0.8
SegFormer-B2,Day-RAIN,13,car,0.9135937719225269,3642087.0,0.8
SegFormer-B2,Day-RAIN,14,truck,0.8841533720467076,286206.0,0.8
SegFormer-B2,Day-RAIN,15,bus,0.3620364246422868,61991.0,0.8
SegFormer-B2,Day-RAIN,16,train,0.3228755157580546,91128.0,0.8
SegFormer-B2,Day-RAIN,17,motorcycle,0.15670808839943448,13439.0,0.8
SegFormer-B2,Day-RAIN,18,bicycle,0.9578456841372291,37339.0,0.8
SegFormer-B2,Night-EXTRASUNNY,0,road,0.9821515760012756,55618356.0,0.8
SegFormer-B2,Night-EXTRASUNNY,1,sidewalk,0.673703765346688,2415342.0,0.8
SegFormer-B2,Night-EXTRASUNNY,2,building,0.906761832386267,23220126.0,0.8
SegFormer-B2,Night-EXTRASUNNY,3,wall,0.7259741778019341,2437825.0,0.8
SegFormer-B2,Night-EXTRASUNNY,4,fence,0.7002104013874482,1698658.0,0.8
SegFormer-B2,Night-EXTRASUNNY,5,pole,0.7286068385889459,974704.0,0.8
SegFormer-B2,Night-EXTRASUNNY,6,traffic light,0.2976590555566224,52073.0,0.8
SegFormer-B2,Night-EXTRASUNNY,7,traffic sign,0.2813852813852814,234234.0,0.8
SegFormer-B2,Night-EXTRASUNNY,8,vegetation,0.8990543580776948,22975187.0,0.8
SegFormer-B2,Night-EXTRASUNNY,9,terrain,0.636638140958742,1652895.0,0.8
SegFormer-B2,Night-EXTRASUNNY,10,sky,0.4417544938625477,46723948.0,0.8
SegFormer-B2,Night-EXTRASUNNY,11,person,0.654072455240817,95176.0,0.8
SegFormer-B2,Night-EXTRASUNNY,12,rider,0.6472829131652661,17850.0,0.8
SegFormer-B2,Night-EXTRASUNNY,13,car,0.9055503067334745,3642087.0,0.8
SegFormer-B2,Night-EXTRASUNNY,14,truck,0.8127223049132443,286206.0,0.8
SegFormer-B2,Night-EXTRASUNNY,15,bus,0.47832749915310285,61991.0,0.8
SegFormer-B2,Night-EXTRASUNNY,16,train,0.1512597664823106,91128.0,0.8
SegFormer-B2,Night-EXTRASUNNY,17,motorcycle,0.0,13439.0,0.8
SegFormer-B2,Night-EXTRASUNNY,18,bicycle,0.7319424730174884,37339.0,0.8
