model,class_id,class_name,retention_masked_global,mass_clean_masked_global,conf_threshold
SegFormer-B0,0,road,0.9644281523271233,423022024.0,0.8
SegFormer-B0,1,sidewalk,0.7466184210401223,16829712.0,0.8
SegFormer-B0,2,building,0.9458429164159137,166206088.0,0.8
SegFormer-B0,3,wall,0.6014507609085965,22857936.0,0.8
SegFormer-B0,4,fence,0.7866931024949892,10417680.0,0.8
SegFormer-B0,5,pole,0.7904147751333327,2701512.0,0.8
SegFormer-B0,6,traffic light,0.6540462004297715,81904.0,0.8
SegFormer-B0,7,traffic sign,0.3825594599150129,901784.0,0.8
SegFormer-B0,8,vegetation,0.8890287428846456,182273424.0,0.8
SegFormer-B0,9,terrain,0.6454575259168419,10346168.0,0.8
SegFormer-B0,10,sky,0.672041449259712,366708600.0,0.8
SegFormer-B0,11,person,0.44153244236429784,437576.0,0.8
SegFormer-B0,12,rider,0.7968669284016944,77432.0,0.8
SegFormer-B0,13,car,0.9279697150578796,22810808.0,0.8
SegFormer-B0,14,truck,0.45331936733663863,2155712.0,0.8
SegFormer-B0,15,bus,0.39293479024417655,1138848.0,0.8
SegFormer-B0,16,train,0.30256448538025127,4179552.0,0.8
SegFormer-B0,17,motorcycle,0.43178343949044584,31400.0,0.8
SegFormer-B0,18,bicycle,0.22214494614451816,112152.0,0.8
SegFormer-B2,0,road,0.9771030943453273,444946848.0,0.8
SegFormer-B2,1,sidewalk,0.7414626479397121,19322736.0,0.8
SegFormer-B2,2,building,0.9427674240441245,185761008.0,0.8
SegFormer-B2,3,wall,0.6514580620019895,19502600.0,0.8
SegFormer-B2,4,fence,0.7824657759242885,13589264.0,0.8
SegFormer-B2,5,pole,0.8035566438631626,7797632.0,0.8
SegFormer-B2,6,traffic light,0.585135290841703,416584.0,0.8
SegFormer-B2,7,traffic sign,0.5282746100053792,1873872.0,0.8
SegFormer-B2,8,vegetation,0.8952574684158174,183801496.0,0.8
SegFormer-B2,9,terrain,0.7017098031030404,13223160.0,0.8
SegFormer-B2,10,sky,0.6922476991884333,373791584.0,0.8
SegFormer-B2,11,person,0.6633460641338152,761408.0,0.8
SegFormer-B2,12,rider,0.6851190476190476,142800.0,0.8
SegFormer-B2,13,car,0.9147109198654507,29136696.0,0.8
SegFormer-B2,14,truck,0.8163918646010216,2289648.0,0.8
SegFormer-B2,15,bus,0.5169903695697763,495928.0,0.8
SegFormer-B2,16,train,0.21040185233956632,729024.0,0.8
SegFormer-B2,17,motorcycle,0.1293902076047325,107512.0,0.8
SegFormer-B2,18,bicycle,0.8361565655213048,298712.0,0.8
SegFormer-B5,0,road,0.9795423297463586,436164768.0,0.8
SegFormer-B5,1,sidewalk,0.7746512486976546,39382792.0,0.8
SegFormer-B5,2,building,0.9477089840316348,201452808.0,0.8
SegFormer-B5,3,wall,0.73921368955958,27539352.0,0.8
SegFormer-B5,4,fence,0.8194596342304904,16509632.0,0.8
SegFormer-B5,5,pole,0.8066324076327861,11076008.0,0.8
SegFormer-B5,6,traffic light,0.5734312599157503,438696.0,0.8
SegFormer-B5,7,traffic sign,0.675981106954923,1514208.0,0.8
SegFormer-B5,8,vegetation,0.9108163919062551,188274576.0,0.8
SegFormer-B5,9,terrain,0.6646098473427805,20165440.0,0.8
SegFormer-B5,10,sky,0.7027300922261465,390497504.0,0.8
SegFormer-B5,11,person,0.9005584998711862,1086840.0,0.8
SegFormer-B5,12,rider,0.8763522650439486,201144.0,0.8
SegFormer-B5,13,car,0.9370136947454006,32046744.0,0.8
SegFormer-B5,14,truck,0.8012539384612185,3077344.0,0.8
