model,sec_condition,num_pairs,pixel_agreement_masked_mean,conf_threshold
SegFormer-B0,Day-FOGGY,101,0.9523808466325893,0.8
SegFormer-B0,Day-RAIN,101,0.9577614364057484,0.8
SegFormer-B0,Night-EXTRASUNNY,101,0.7500656964165149,0.8
SegFormer-B0,Night-FOGGY,101,0.6788746195264382,0.8
SegFormer-B0,Night-RAIN,101,0.704258934105977,0.8
SegFormer-B0,Sunset-EXTRASUNNY,101,0.9109086105138948,0.8
SegFormer-B0,Sunset-FOGGY,101,0.8501782632700288,0.8
SegFormer-B0,Sunset-RAIN,101,0.9478150523535096,0.8
SegFormer-B2,Day-FOGGY,101,0.9628330014719821,0.8
SegFormer-B2,Day-RAIN,101,0.9540461809328287,0.8
SegFormer-B2,Night-EXTRASUNNY,101,0.782396270792083,0.8
SegFormer-B2,Night-FOGGY,101,0.6832325095587438,0.8
SegFormer-B2,Night-RAIN,101,0.7048633051390695,0.8
SegFormer-B2,Sunset-EXTRASUNNY,101,0.9512208641165554,0.8
SegFormer-B2,Sunset-FOGGY,101,0.8945788375221857,0.8
SegFormer-B2,Sunset-RAIN,101,0.9502350451922653,0.8
SegFormer-B5,Day-FOGGY,101,0.9582213493857054,0.8
SegFormer-B5,Day-RAIN,101,0.9488678149657674,0.8
SegFormer-B5,Night-EXTRASUNNY,101,0.8162945626985909,0.8
SegFormer-B5,Night-FOGGY,101,0.7289426692641607,0.8
SegFormer-B5,Night-RAIN,101,0.6843834008910868,0.8
SegFormer-B5,Sunset-EXTRASUNNY,101,0.9556159235463284,0.8
SegFormer-B5,Sunset-FOGGY,101,0.8884736039850971,0.8
SegFormer-B5,Sunset-RAIN,101,0.9427199104044697,0.8
Mask2Former-Swin-S,Day-FOGGY,101,0.9765586493038895,0.8
Mask2Former-Swin-S,Day-RAIN,101,0.9696266037402766,0.8
Mask2Former-Swin-S,Night-EXTRASUNNY,101,0.8742086955226294,0.8
Mask2Former-Swin-S,Night-FOGGY,101,0.7538062434385319,0.8
Mask2Former-Swin-S,Night-RAIN,101,0.7348071993282526,0.8
Mask2Former-Swin-S,Sunset-EXTRASUNNY,101,0.9565107934545762,0.8
Mask2Former-Swin-S,Sunset-FOGGY,101,0.9295777855533185,0.8
Mask2Former-Swin-S,Sunset-RAIN,101,0.9639384581310915,0.8
Mask2Former-Swin-L,Day-FOGGY,101,0.9770607547004624,0.8
Mask2Former-Swin-L,Day-RAIN,101,0.9777642759946313,0.8
Mask2Former-Swin-L,Night-EXTRASUNNY,101,0.9424508603492586,0.8
Mask2Former-Swin-L,Night-FOGGY,101,0.8393200205104185,0.8
Mask2Former-Swin-L,Night-RAIN,101,0.8647223858550044,0.8
Mask2Former-Swin-L,Sunset-EXTRASUNNY,101,0.9690303843800384,0.8
Mask2Former-Swin-L,Sunset-FOGGY,101,0.9501202448759929,0.8
Mask2Former-Swin-L,Sunset-RAIN,101,0.971407140835677,0.8
