model,location_key,sec_condition,sec_illumination,sec_weather,pixel_agreement_masked,conf_threshold
SegFormer-B0,10231074,Day-FOGGY,Day,FOGGY,0.9942131638526917,0.8
SegFormer-B0,10231074,Day-RAIN,Day,RAIN,0.9950730800628662,0.8
SegFormer-B0,10231074,Sunset-EXTRASUNNY,Sunset,EXTRASUNNY,0.8425049185752869,0.8
SegFormer-B0,10231074,Sunset-FOGGY,Sunset,FOGGY,0.9551110863685608,0.8
SegFormer-B0,10231074,Sunset-RAIN,Sunset,RAIN,0.9943426251411438,0.8
SegFormer-B0,10231074,Night-EXTRASUNNY,Night,EXTRASUNNY,0.7911983132362366,0.8
SegFormer-B0,10231074,Night-FOGGY,Night,FOGGY,0.6420423984527588,0.8
SegFormer-B0,10231074,Night-RAIN,Night,RAIN,0.7873921990394592,0.8
SegFormer-B0,108359,Day-FOGGY,Day,FOGGY,0.964414119720459,0.8
SegFormer-B0,108359,Day-RAIN,Day,RAIN,0.9339874386787415,0.8
SegFormer-B0,108359,Sunset-EXTRASUNNY,Sunset,EXTRASUNNY,0.9170893430709839,0.8
SegFormer-B0,108359,Sunset-FOGGY,Sunset,FOGGY,0.8777959942817688,0.8
SegFormer-B0,108359,Sunset-RAIN,Sunset,RAIN,0.9004351496696472,0.8
SegFormer-B0,108359,Night-EXTRASUNNY,Night,EXTRASUNNY,0.5753517150878906,0.8
SegFormer-B0,108359,Night-FOGGY,Night,FOGGY,0.7041748762130737,0.8
SegFormer-B0,108359,Night-RAIN,Night,RAIN,0.5602316856384277,0.8
SegFormer-B0,10901081,Day-FOGGY,Day,FOGGY,0.983278214931488,0.8
SegFormer-B0,10901081,Day-RAIN,Day,RAIN,0.9426778554916382,0.8
SegFormer-B0,10901081,Sunset-EXTRASUNNY,Sunset,EXTRASUNNY,0.95213383436203,0.8
SegFormer-B0,10901081,Sunset-FOGGY,Sunset,FOGGY,0.9125655293464661,0.8
SegFormer-B0,10901081,Sunset-RAIN,Sunset,RAIN,0.9253478050231934,0.8
SegFormer-B0,10901081,Night-EXTRASUNNY,Night,EXTRASUNNY,0.7587391138076782,0.8
SegFormer-B0,10901081,Night-FOGGY,Night,FOGGY,0.9335871934890747,0.8
SegFormer-B0,10901081,Night-RAIN,Night,RAIN,0.7855836153030396,0.8
SegFormer-B0,11101250,Day-FOGGY,Day,FOGGY,0.9259674549102783,0.8
SegFormer-B0,11101250,Day-RAIN,Day,RAIN,0.9884077906608582,0.8
SegFormer-B0,11101250,Sunset-EXTRASUNNY,Sunset,EXTRASUNNY,0.8945868015289307,0.8
SegFormer-B0,11101250,Sunset-FOGGY,Sunset,FOGGY,0.524540364742279,0.8
SegFormer-B0,11101250,Sunset-RAIN,Sunset,RAIN,0.9800153970718384,0.8
SegFormer-B0,11101250,Night-EXTRASUNNY,Night,EXTRASUNNY,0.7467091083526611,0.8
SegFormer-B0,11101250,Night-FOGGY,Night,FOGGY,0.53708416223526,0.8
SegFormer-B0,11101250,Night-RAIN,Night,RAIN,0.5819639563560486,0.8
SegFormer-B0,11131433,Day-FOGGY,Day,FOGGY,0.7726316452026367,0.8
SegFormer-B0,11131433,Day-RAIN,Day,RAIN,0.9700742363929749,0.8
SegFormer-B0,11131433,Sunset-EXTRASUNNY,Sunset,EXTRASUNNY,0.6615663766860962,0.8
SegFormer-B0,11131433,Sunset-FOGGY,Sunset,FOGGY,0.4777275621891022,0.8
SegFormer-B0,11131433,Sunset-RAIN,Sunset,RAIN,0.9403643608093262,0.8
SegFormer-B0,11131433,Night-EXTRASUNNY,Night,EXTRASUNNY,0.4821607768535614,0.8
SegFormer-B0,11131433,Night-FOGGY,Night,FOGGY,0.43738654255867004,0.8
SegFormer-B0,11131433,Night-RAIN,Night,RAIN,0.45373231172561646,0.8
SegFormer-B0,1119803,Day-FOGGY,Day,FOGGY,0.9505236744880676,0.8
SegFormer-B0,1119803,Day-RAIN,Day,RAIN,0.9915473461151123,0.8
SegFormer-B0,1119803,Sunset-EXTRASUNNY,Sunset,EXTRASUNNY,0.9905794262886047,0.8
SegFormer-B0,1119803,Sunset-FOGGY,Sunset,FOGGY,0.8774004578590393,0.8
SegFormer-B0,1119803,Sunset-RAIN,Sunset,RAIN,0.9722802042961121,0.8
SegFormer-B0,1119803,Night-EXTRASUNNY,Night,EXTRASUNNY,0.7076807022094727,0.8
SegFormer-B0,1119803,Night-FOGGY,Night,FOGGY,0.6453598737716675,0.8
SegFormer-B0,1119803,Night-RAIN,Night,RAIN,0.6679657697677612,0.8
SegFormer-B0,112170,Day-FOGGY,Day,FOGGY,0.8959581255912781,0.8
SegFormer-B0,112170,Day-RAIN,Day,RAIN,0.9414933323860168,0.8
SegFormer-B0,112170,Sunset-EXTRASUNNY,Sunset,EXTRASUNNY,0.9434211850166321,0.8
SegFormer-B0,112170,Sunset-FOGGY,Sunset,FOGGY,0.6190914511680603,0.8
SegFormer-B0,112170,Sunset-RAIN,Sunset,RAIN,0.9139457941055298,0.8
SegFormer-B0,112170,Night-EXTRASUNNY,Night,EXTRASUNNY,0.6212490797042847,0.8
SegFormer-B0,112170,Night-FOGGY,Night,FOGGY,0.4858556389808655,0.8
SegFormer-B0,112170,Night-RAIN,Night,RAIN,0.6086609363555908,0.8
SegFormer-B0,1124819,Day-FOGGY,Day,FOGGY,0.8624240756034851,0.8
SegFormer-B0,1124819,Day-RAIN,Day,RAIN,0.902960479259491,0.8
SegFormer-B0,1124819,Sunset-EXTRASUNNY,Sunset,EXTRASUNNY,0.9144963026046753,0.8
SegFormer-B0,1124819,Sunset-FOGGY,Sunset,FOGGY,0.9113207459449768,0.8
SegFormer-B0,1124819,Sunset-RAIN,Sunset,RAIN,0.941227912902832,0.8
SegFormer-B0,1124819,Night-EXTRASUNNY,Night,EXTRASUNNY,0.6667550206184387,0.8
SegFormer-B0,1124819,Night-FOGGY,Night,FOGGY,0.6898539066314697,0.8
SegFormer-B0,1124819,Night-RAIN,Night,RAIN,0.5180413722991943,0.8
SegFormer-B0,11281105,Day-FOGGY,Day,FOGGY,0.9091885089874268,0.8
SegFormer-B0,11281105,Day-RAIN,Day,RAIN,0.9310625195503235,0.8
SegFormer-B0,11281105,Sunset-EXTRASUNNY,Sunset,EXTRASUNNY,0.9815149307250977,0.8
SegFormer-B0,11281105,Sunset-FOGGY,Sunset,FOGGY,0.8787494897842407,0.8
SegFormer-B0,11281105,Sunset-RAIN,Sunset,RAIN,0.8614036440849304,0.8
SegFormer-B0,11281105,Night-EXTRASUNNY,Night,EXTRASUNNY,0.9683805704116821,0.8
SegFormer-B0,11281105,Night-FOGGY,Night,FOGGY,0.9436244964599609,0.8
SegFormer-B0,11281105,Night-RAIN,Night,RAIN,0.5480819940567017,0.8
SegFormer-B0,1129575,Day-FOGGY,Day,FOGGY,0.988447368144989,0.8
SegFormer-B0,1129575,Day-RAIN,Day,RAIN,0.9954777359962463,0.8
SegFormer-B0,1129575,Sunset-EXTRASUNNY,Sunset,EXTRASUNNY,0.9855989217758179,0.8
SegFormer-B0,1129575,Sunset-FOGGY,Sunset,FOGGY,0.9623932838439941,0.8
SegFormer-B0,1129575,Sunset-RAIN,Sunset,RAIN,0.9837715029716492,0.8
SegFormer-B0,1129575,Night-EXTRASUNNY,Night,EXTRASUNNY,0.7451328635215759,0.8
SegFormer-B0,1129575,Night-FOGGY,Night,FOGGY,0.5641807913780212,0.8
SegFormer-B0,1129575,Night-RAIN,Night,RAIN,0.8091444373130798,0.8
SegFormer-B0,1161197,Day-FOGGY,Day,FOGGY,0.9897350668907166,0.8
SegFormer-B0,1161197,Day-RAIN,Day,RAIN,0.9113333821296692,0.8
SegFormer-B0,1161197,Sunset-EXTRASUNNY,Sunset,EXTRASUNNY,0.8973066210746765,0.8
SegFormer-B0,1161197,Sunset-FOGGY,Sunset,FOGGY,0.8843533396720886,0.8
SegFormer-B0,1161197,Sunset-RAIN,Sunset,RAIN,0.9562813639640808,0.8
SegFormer-B0,1161197,Night-EXTRASUNNY,Night,EXTRASUNNY,0.822206974029541,0.8
SegFormer-B0,1161197,Night-FOGGY,Night,FOGGY,0.8234109282493591,0.8
SegFormer-B0,1161197,Night-RAIN,Night,RAIN,0.8113598227500916,0.8
SegFormer-B0,1162709,Day-FOGGY,Day,FOGGY,0.8576147556304932,0.8
SegFormer-B0,1162709,Day-RAIN,Day,RAIN,0.9686158299446106,0.8
SegFormer-B0,1162709,Sunset-EXTRASUNNY,Sunset,EXTRASUNNY,0.9903014302253723,0.8
SegFormer-B0,1162709,Sunset-FOGGY,Sunset,FOGGY,0.8091554045677185,0.8
SegFormer-B0,1162709,Sunset-RAIN,Sunset,RAIN,0.8536487221717834,0.8
SegFormer-B0,1162709,Night-EXTRASUNNY,Night,EXTRASUNNY,0.9081674218177795,0.8
SegFormer-B0,1162709,Night-FOGGY,Night,FOGGY,0.9157156348228455,0.8
SegFormer-B0,1162709,Night-RAIN,Night,RAIN,0.9471993446350098,0.8
SegFormer-B0,1163548,Day-FOGGY,Day,FOGGY,0.9894888997077942,0.8
SegFormer-B0,1163548,Day-RAIN,Day,RAIN,0.9538699388504028,0.8
SegFormer-B0,1163548,Sunset-EXTRASUNNY,Sunset,EXTRASUNNY,0.8665847182273865,0.8
SegFormer-B0,1163548,Sunset-FOGGY,Sunset,FOGGY,0.8417690396308899,0.8
SegFormer-B0,1163548,Sunset-RAIN,Sunset,RAIN,0.9535351395606995,0.8
SegFormer-B0,1163548,Night-EXTRASUNNY,Night,EXTRASUNNY,0.91086745262146,0.8
SegFormer-B0,1163548,Night-FOGGY,Night,FOGGY,0.7472279667854309,0.8
SegFormer-B0,1163548,Night-RAIN,Night,RAIN,0.8390006422996521,0.8
SegFormer-B0,11642190,Day-FOGGY,Day,FOGGY,0.8902319073677063,0.8
SegFormer-B0,11642190,Day-RAIN,Day,RAIN,0.8899478316307068,0.8
SegFormer-B0,11642190,Sunset-EXTRASUNNY,Sunset,EXTRASUNNY,0.8910509347915649,0.8
SegFormer-B0,11642190,Sunset-FOGGY,Sunset,FOGGY,0.8841217160224915,0.8
SegFormer-B0,11642190,Sunset-RAIN,Sunset,RAIN,0.8671462535858154,0.8
SegFormer-B0,11642190,Night-EXTRASUNNY,Night,EXTRASUNNY,0.8669120073318481,0.8
SegFormer-B0,11642190,Night-FOGGY,Night,FOGGY,0.8275760412216187,0.8
SegFormer-B0,11642190,Night-RAIN,Night,RAIN,0.8299998044967651,0.8
SegFormer-B0,1169181,Day-FOGGY,Day,FOGGY,0.9741780757904053,0.8
SegFormer-B0,1169181,Day-RAIN,Day,RAIN,0.9703459739685059,0.8
SegFormer-B0,1169181,Sunset-EXTRASUNNY,Sunset,EXTRASUNNY,0.9718822836875916,0.8
SegFormer-B0,1169181,Sunset-FOGGY,Sunset,FOGGY,0.9600358605384827,0.8
SegFormer-B0,1169181,Sunset-RAIN,Sunset,RAIN,0.9736005067825317,0.8
SegFormer-B0,1169181,Night-EXTRASUNNY,Night,EXTRASUNNY,0.9554713368415833,0.8
SegFormer-B0,1169181,Night-FOGGY,Night,FOGGY,0.948910653591156,0.8
SegFormer-B0,1169181,Night-RAIN,Night,RAIN,0.7753934860229492,0.8
SegFormer-B0,11721222,Day-FOGGY,Day,FOGGY,0.998059093952179,0.8
SegFormer-B0,11721222,Day-RAIN,Day,RAIN,0.9952651858329773,0.8
SegFormer-B0,11721222,Sunset-EXTRASUNNY,Sunset,EXTRASUNNY,0.9942029714584351,0.8
SegFormer-B0,11721222,Sunset-FOGGY,Sunset,FOGGY,0.9804155230522156,0.8
SegFormer-B0,11721222,Sunset-RAIN,Sunset,RAIN,0.9961652755737305,0.8
SegFormer-B0,11721222,Night-EXTRASUNNY,Night,EXTRASUNNY,0.940548837184906,0.8
SegFormer-B0,11721222,Night-FOGGY,Night,FOGGY,0.7879902720451355,0.8
SegFormer-B0,11721222,Night-RAIN,Night,RAIN,0.9321988224983215,0.8
SegFormer-B0,11802146,Day-FOGGY,Day,FOGGY,0.950826108455658,0.8
SegFormer-B0,11802146,Day-RAIN,Day,RAIN,0.9904054999351501,0.8
SegFormer-B0,11802146,Sunset-EXTRASUNNY,Sunset,EXTRASUNNY,0.9753483533859253,0.8
SegFormer-B0,11802146,Sunset-FOGGY,Sunset,FOGGY,0.9042606353759766,0.8
SegFormer-B0,11802146,Sunset-RAIN,Sunset,RAIN,0.9848482608795166,0.8
SegFormer-B0,11802146,Night-EXTRASUNNY,Night,EXTRASUNNY,0.8857586979866028,0.8
SegFormer-B0,11802146,Night-FOGGY,Night,FOGGY,0.6454300880432129,0.8
SegFormer-B0,11802146,Night-RAIN,Night,RAIN,0.8904411792755127,0.8
SegFormer-B0,1184775,Day-FOGGY,Day,FOGGY,0.9545993804931641,0.8
SegFormer-B0,1184775,Day-RAIN,Day,RAIN,0.975053071975708,0.8
SegFormer-B0,1184775,Sunset-EXTRASUNNY,Sunset,EXTRASUNNY,0.9767459034919739,0.8
SegFormer-B0,1184775,Sunset-FOGGY,Sunset,FOGGY,0.9199514389038086,0.8
SegFormer-B0,1184775,Sunset-RAIN,Sunset,RAIN,0.971856415271759,0.8
SegFormer-B0,1184775,Night-EXTRASUNNY,Night,EXTRASUNNY,0.6532426476478577,0.8
SegFormer-B0,1184775,Night-FOGGY,Night,FOGGY,0.4803829789161682,0.8
