class_name,Mask2Former-Swin-L,Mask2Former-Swin-S,SegFormer-B0,SegFormer-B2,SegFormer-B5
bicycle,0.48061901397393625,0.4572210325957649,0.22214494614451816,0.8361565655213048,0.695175483370424
building,0.9547205340155396,0.94071460237145,0.9458429164159137,0.9427674240441245,0.9477089840316348
bus,,0.08064278899666083,0.39293479024417655,0.5169903695697763,
car,0.9447475145531171,0.8937776492418413,0.9279697150578796,0.9147109198654507,0.9370136947454006
fence,0.8498344310663869,0.7413810966945649,0.7866931024949892,0.7824657759242885,0.8194596342304904
motorcycle,0.8014584252315836,,,0.1293902076047325,0.8180984927352555
person,0.7922138958115951,0.7336388237539535,0.44153244236429784,0.6633460641338152,0.9005584998711862
pole,0.7940562682564061,0.7850934140144099,0.7904147751333327,0.8035566438631626,0.8066324076327861
rider,0.6989853747714808,0.6612116217917855,,0.6851190476190476,0.8763522650439486
road,0.9955756110424482,0.9928038544056124,0.9644281523271233,0.9771030943453273,0.9795423297463586
sidewalk,0.8720088285653387,0.8452827646061769,0.7466184210401223,0.7414626479397121,0.7746512486976546
sky,0.8923454618830202,0.8167701000030849,0.672041449259712,0.6922476991884333,0.7027300922261465
terrain,0.850140426376697,0.7434272371380721,0.6454575259168419,0.7017098031030404,0.6646098473427805
traffic light,0.7921467244874394,0.5949757341961175,,0.585135290841703,0.5734312599157503
traffic sign,0.5181651740415583,0.24732212587860705,0.3825594599150129,0.5282746100053792,0.675981106954923
train,,,0.30256448538025127,0.21040185233956632,0.14705266586024007
truck,0.6149059942244454,0.8547648093296001,0.45331936733663863,0.8163918646010216,0.8012539384612185
vegetation,0.936829660853592,0.8858192757883486,0.8890287428846456,0.8952574684158174,0.9108163919062551
wall,0.7963650936271217,0.8054133833884876,0.6014507609085965,0.6514580620019895,0.73921368955958
