dataset_name,model,target_class,pair_id,clean_count,adv_count,clean_path,adv_path
our_dataset,SegFormer-B5,person,10231074,0,0,/home/ace/Downloads/Dataset/Day/10231074_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/10231074_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,108359,40,1329,/home/ace/Downloads/Dataset/Day/108359_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/108359_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,10901081,0,0,/home/ace/Downloads/Dataset/Day/10901081_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/10901081_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,11101250,20807,22988,/home/ace/Downloads/Dataset/Day/11101250_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/11101250_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,11131433,0,0,/home/ace/Downloads/Dataset/Day/11131433_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/11131433_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,1119803,0,0,/home/ace/Downloads/Dataset/Day/1119803_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/1119803_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,112170,1072,1099,/home/ace/Downloads/Dataset/Day/112170_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/112170_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,1124819,217,615,/home/ace/Downloads/Dataset/Day/1124819_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/1124819_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,11281105,5249,5757,/home/ace/Downloads/Dataset/Day/11281105_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/11281105_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,1129575,41,0,/home/ace/Downloads/Dataset/Day/1129575_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/1129575_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,1161197,0,0,/home/ace/Downloads/Dataset/Day/1161197_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/1161197_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,1162709,0,0,/home/ace/Downloads/Dataset/Day/1162709_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/1162709_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,1163548,268,61,/home/ace/Downloads/Dataset/Day/1163548_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/1163548_Night_EXTRASUNNY.png
our_dataset,SegFormer-B5,person,11642190,0,0,/home/ace/Downloads/Dataset/Day/11642190_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/11642190_Night_EXTRASUNNY.png
